원환 1,,,황2,,,환3,,,사각1,,,사각2,,,사각3,,,원판1,,,원판2,,,원판3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,회전축 지름 ,4.1cm
,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,,,원판지름 ,18cm
t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,,,,직사각형 판 넓이,8.2*18
1.5329,0.1459,-0.0301,1.5329,-0.0379,-0.1391,3.0658,-0.0657,-0.1126,,,,1.5329,0.1347,-0.0281,,,,1.5329,-0.0542,-0.1335,1.5329,0.1502,0.0311,3.5656,-0.1349,-0.0249,,,,,
1.5662,0.1384,-0.0379,1.5662,-0.0451,-0.1368,3.0991,-0.0731,-0.1055,,,,1.5662,0.1315,-0.0376,,,,1.5662,-0.0640,-0.1291,1.5662,0.1509,0.0203,,,,,,,,
1.5995,0.1369,-0.0453,1.5995,-0.0526,-0.1344,3.1324,-0.0816,-0.0979,,,,1.5995,0.1278,-0.0475,,,,1.5995,-0.0736,-0.1237,1.5995,0.1516,0.0102,,,,,,,,
1.6329,0.1336,-0.0524,1.6329,-0.0636,-0.1361,3.1657,-0.0897,-0.0901,,,,1.6329,0.1247,-0.0564,,,,1.6329,-0.0828,-0.1175,1.6329,0.1454,-0.0015,,,,,,,,
1.6662,0.1265,-0.0637,1.6662,-0.0693,-0.1328,3.1991,-0.0981,-0.0816,,,,1.6662,0.1172,-0.0665,,,,1.6662,-0.0919,-0.1164,1.6662,0.1447,-0.0117,,,,,,,,
1.6995,0.1252,-0.0677,1.6995,-0.0797,-0.1233,3.2324,-0.1059,-0.0720,,,,1.6995,0.1162,-0.0750,,,,1.6995,-0.1017,-0.1089,1.6995,0.1431,-0.0220,,,,,,,,
1.7328,0.1181,-0.0771,1.7328,-0.0861,-0.1188,3.2657,-0.1116,-0.0620,,,,1.7328,0.1096,-0.0838,,,,1.7328,-0.1103,-0.1000,1.7328,0.1409,-0.0323,,,,,,,,
1.7662,0.1131,-0.0836,1.7662,-0.0928,-0.1136,3.2990,-0.1186,-0.0521,,,,1.7662,0.1016,-0.0920,,,,1.7662,-0.1183,-0.0910,1.7662,0.1374,-0.0422,,,,,,,,
1.7995,0.1085,-0.0900,1.7995,-0.0986,-0.1095,3.3324,-0.1236,-0.0406,,,,1.7995,0.0924,-0.0990,,,,1.7995,-0.1255,-0.0828,1.7995,0.1321,-0.0518,,,,,,,,
1.8328,0.1028,-0.0959,1.8328,-0.1022,-0.1067,3.3657,-0.1265,-0.0288,,,,1.8328,0.0793,-0.1055,,,,1.8328,-0.1308,-0.0693,1.8328,0.1259,-0.0585,,,,,,,,
1.8661,0.0962,-0.1011,1.8661,-0.1114,-0.0971,3.3990,-0.1301,-0.0185,,,,1.8661,0.0698,-0.1117,,,,1.8661,-0.1358,-0.0589,1.8661,0.1206,-0.0683,,,,,,,,
1.8994,0.0892,-0.1067,1.8994,-0.1167,-0.0903,3.4323,-0.1316,-0.0075,,,,1.8994,0.0639,-0.1282,,,,1.8994,-0.1430,-0.0475,1.8994,0.1142,-0.0770,,,,,,,,
1.9328,0.0823,-0.1121,1.9328,-0.1219,-0.0870,3.4657,-0.1298,0.0048,,,,1.9328,0.0513,-0.1341,,,,,,,1.9328,0.1069,-0.0852,,,,,,,,
1.9661,0.0741,-0.1164,1.9661,-0.1259,-0.0783,3.4990,-0.1272,0.0189,,,,1.9661,0.0420,-0.1358,,,,,,,1.9661,0.0980,-0.0924,,,,,,,,
1.9994,0.0670,-0.1200,1.9994,-0.1307,-0.0702,,,,,,,1.9994,0.0314,-0.1284,,,,,,,1.9994,0.0922,-0.0998,,,,,,,,
2.0327,0.0583,-0.1235,2.0327,-0.1352,-0.0614,,,,,,,,,,,,,,,,2.0327,0.0817,-0.1065,,,,,,,,
2.0661,0.0488,-0.1282,2.0661,-0.1400,-0.0527,,,,,,,,,,,,,,,,2.0661,0.0717,-0.1126,,,,,,,,
2.0994,0.0392,-0.1302,2.0994,-0.1439,-0.0438,,,,,,,,,,,,,,,,2.0994,0.0611,-0.1193,,,,,,,,
2.1327,0.0293,-0.1325,2.1327,-0.1461,-0.0336,,,,,,,,,,,,,,,,2.1327,0.0494,-0.1226,,,,,,,,
2.1660,0.0201,-0.1335,2.1660,-0.1499,-0.0240,,,,,,,,,,,,,,,,2.1660,0.0384,-0.1258,,,,,,,,
2.1994,0.0122,-0.1344,,,,,,,,,,,,,,,,,,,2.1994,0.0254,-0.1285,,,,,,,,
2.2327,0.0019,-0.1351,,,,,,,,,,,,,,,,,,,2.2327,0.0132,-0.1292,,,,,,,,
2.2660,-0.0085,-0.1340,,,,,,,,,,,,,,,,,,,2.2660,0.0015,-0.1298,,,,,,,,
2.2993,-0.0190,-0.1311,,,,,,,,,,,,,,,,,,,2.2993,-0.0133,-0.1293,,,,,,,,
2.3327,-0.0299,-0.1290,,,,,,,,,,,,,,,,,,,2.3327,-0.0257,-0.1270,,,,,,,,
2.3660,-0.0410,-0.1262,,,,,,,,,,,,,,,,,,,2.3660,-0.0382,-0.1237,,,,,,,,
2.3993,-0.0504,-0.1223,,,,,,,,,,,,,,,,,,,2.3993,-0.0499,-0.1198,,,,,,,,
2.4326,-0.0602,-0.1188,,,,,,,,,,,,,,,,,,,2.4326,-0.0599,-0.1158,,,,,,,,
2.4659,-0.0695,-0.1145,,,,,,,,,,,,,,,,,,,2.4659,-0.0713,-0.1097,,,,,,,,
2.4993,-0.0768,-0.1084,,,,,,,,,,,,,,,,,,,2.4993,-0.0847,-0.1019,,,,,,,,
2.5326,-0.0871,-0.1024,,,,,,,,,,,,,,,,,,,2.5326,-0.0935,-0.0929,,,,,,,,
2.5659,-0.0976,-0.0915,,,,,,,,,,,,,,,,,,,2.5659,-0.1030,-0.0823,,,,,,,,
2.5992,-0.1063,-0.0848,,,,,,,,,,,,,,,,,,,2.5992,-0.1127,-0.0737,,,,,,,,
2.6326,-0.1110,-0.0753,,,,,,,,,,,,,,,,,,,2.6326,-0.1198,-0.0616,,,,,,,,
2.6659,-0.1151,-0.0651,,,,,,,,,,,,,,,,,,,2.6659,-0.1278,-0.0488,,,,,,,,
2.6992,-0.1230,-0.0540,,,,,,,,,,,,,,,,,,,2.6992,-0.1325,-0.0359,,,,,,,,
2.7325,-0.1274,-0.0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7659,-0.1319,-0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8658,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8992,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9325,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9658,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9991,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0324,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0658,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0991,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1324,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1657,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1991,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2324,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2657,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2990,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3324,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3657,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3990,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4323,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4657,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4990,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5323,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5656,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5990,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6323,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6656,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6989,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7322,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7656,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7989,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8322,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8655,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8989,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9322,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9655,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9988,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0322,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0655,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0988,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1321,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1655,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1988,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2321,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2654,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2987,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3321,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3654,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3987,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4320,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
